Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,RL,70.0,11200,,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,134,1040,Ex,Y,SBrkr,1040,0,1040,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,None,2,2008,WD,Normal,129500
12,60,RL,85.0,11924,,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,177,1175,Ex,Y,SBrkr,1182,1142,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,None,7,2006,New,Partial,345000
13,20,RL,,12968,,IR2,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,175,912,TA,Y,SBrkr,912,0,912,1,0,1,0,2,1,TA,4,Typ,0,,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,None,9,2008,WD,Normal,144000
14,20,RL,91.0,10652,,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1494,1494,Ex,Y,SBrkr,1494,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,None,8,2007,New,Partial,279500
15,20,RL,,10920,,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,520,1253,TA,Y,SBrkr,1253,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,1,GdWo,5,2008,WD,Normal,157000
16,45,RM,51.0,6120,,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,832,832,Ex,Y,FuseA,854,0,854,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,GdPrv,7,2007,WD,Normal,132000
17,20,RL,,11241,,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,426,1004,Ex,Y,SBrkr,1004,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,None,3,2010,WD,Normal,149000
18,90,RL,72.0,10791,,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,,0.0,TA,TA,Slab,,,,,,0,0,TA,Y,SBrkr,1296,0,1296,0,0,2,0,2,0,TA,6,Typ,0,,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,0,None,10,2006,WD,Normal,90000
19,20,RL,66.0,13695,,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,468,1114,Ex,Y,SBrkr,1114,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,None,6,2008,WD,Normal,159000
20,20,RL,70.0,7560,,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,525,1029,TA,Y,SBrkr,1339,0,1339,0,0,1,0,3,1,TA,6,Min1,0,,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,MnPrv,5,2009,COD,Other,139000
21,60,RL,101.0,14215,,IR1,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1158,1158,Ex,Y,SBrkr,1158,1218,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,None,11,2006,New,Partial,325300
22,45,RM,57.0,7449,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,637,637,Ex,Y,FuseF,1108,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0,1,GdPrv,6,2007,WD,Normal,139400
23,20,RL,75.0,9742,,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1777,1777,Ex,Y,SBrkr,1795,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,0,None,9,2008,WD,Normal,230000
24,120,RM,44.0,4224,,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,200,1040,TA,Y,SBrkr,1060,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,0,None,6,2007,WD,Normal,129900
25,20,RL,,8246,,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,204,1060,Ex,Y,SBrkr,1060,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,90,0,MnPrv,5,2010,WD,Normal,154000
26,20,RL,110.0,14230,,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1566,1566,Ex,Y,SBrkr,1600,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,0,None,7,2009,WD,Normal,256300
27,20,RL,60.0,7200,,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,180,900,TA,Y,SBrkr,900,0,900,0,1,1,0,3,1,Gd,5,Typ,0,,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,32,0,None,5,2010,WD,Normal,134800
28,20,RL,98.0,11478,,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,486,1704,Ex,Y,SBrkr,1704,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,0,None,5,2010,WD,Normal,306000
29,20,RL,47.0,16321,,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,207,1484,TA,Y,SBrkr,1600,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,258,0,None,12,2006,WD,Normal,207500
30,30,RM,60.0,6324,,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,520,520,Fa,N,SBrkr,520,0,520,0,0,1,0,1,1,Fa,4,Typ,0,,Detchd,1920.0,Unf,1,240,Other,TA,Y,49,0,1,None,5,2008,WD,Normal,68500
31,70,C (all),50.0,8500,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,649,649,TA,N,SBrkr,649,668,1317,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,1,250,TA,Other,N,0,54,1,MnPrv,7,2008,WD,Normal,40000
32,20,RL,,8544,,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1228,1228,Gd,Y,SBrkr,1228,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,65,0,MnPrv,6,2008,WD,Normal,149350
33,20,RL,85.0,11049,,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1234,1234,Ex,Y,SBrkr,1234,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,30,0,None,1,2008,WD,Normal,179900
34,20,RL,70.0,10552,,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,380,1398,Gd,Y,SBrkr,1700,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Y,0,38,0,None,4,2010,WD,Normal,165500
35,120,RL,60.0,7313,,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,408,1561,Ex,Y,SBrkr,1561,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,556,TA,TA,Y,203,47,0,None,8,2007,WD,Normal,277500
36,60,RL,108.0,13418,,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1117,1117,Ex,Y,SBrkr,1132,1320,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,113,32,0,None,9,2006,WD,Normal,309000
37,20,RL,112.0,10859,,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1097,1097,Ex,Y,SBrkr,1097,0,1097,0,0,1,1,3,1,TA,6,Typ,0,,Attchd,1995.0,Unf,2,672,TA,TA,Y,392,64,0,None,6,2009,WD,Normal,145000
38,20,RL,74.0,8532,,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,84,1297,Gd,Y,SBrkr,1297,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,498,TA,TA,Y,0,0,0,None,10,2009,WD,Normal,153000
39,20,RL,68.0,7922,,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,326,1057,TA,Y,SBrkr,1057,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,,Detchd,1953.0,Unf,1,246,TA,TA,Y,0,52,0,None,1,2010,WD,Other,109000
40,90,RL,65.0,6040,,Reg,Lvl,Inside,Gtl,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,,0.0,TA,TA,PConc,,,,,,0,0,TA,N,FuseP,1152,0,1152,0,0,2,0,2,0,Fa,6,Typ,0,,,,,0,0,Other,Other,N,0,0,0,None,6,2008,WD,Other,82000
41,20,RL,84.0,8658,,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,445,1088,Ex,Y,SBrkr,1324,0,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,440,TA,TA,Y,0,138,0,GdWo,12,2006,WD,Other,160000
42,20,RL,115.0,16905,,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,383,1350,Gd,Y,SBrkr,1328,0,1328,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,308,TA,TA,P,0,104,0,None,7,2007,WD,Normal,170000
43,85,RL,,9180,,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,0,840,Gd,Y,SBrkr,884,0,884,1,0,1,0,2,1,Gd,5,Typ,0,,Attchd,1983.0,RFn,2,504,TA,Other,Y,240,0,0,MnPrv,12,2007,WD,Normal,144000
44,20,RL,,9200,,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,167,938,TA,Y,SBrkr,938,0,938,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1977.0,Unf,1,308,TA,TA,Y,145,0,0,MnPrv,7,2008,WD,Normal,130250
45,20,RL,70.0,7945,,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,465,1150,Ex,Y,FuseA,1150,0,1150,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1959.0,RFn,1,300,TA,TA,Y,0,0,0,None,5,2006,WD,Normal,141000
46,120,RL,61.0,7658,,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1296,1752,Ex,Y,SBrkr,1752,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2,576,TA,TA,Y,196,82,0,None,2,2010,WD,Normal,319900
47,50,RL,48.0,12822,,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,83,1434,Ex,Y,SBrkr,1518,631,2149,1,0,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,2003.0,RFn,2,670,TA,TA,Y,168,43,0,None,8,2009,WD,Other,239686
48,20,FV,84.0,11096,,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1632,1656,Ex,Y,SBrkr,1656,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2006.0,RFn,3,826,TA,TA,Y,0,146,0,None,7,2007,WD,Normal,249700
49,190,RM,33.0,4456,,Reg,Lvl,Inside,Gtl,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,736,736,Gd,Y,SBrkr,736,716,1452,0,0,2,0,2,0,TA,8,Typ,0,,,,,0,0,Other,Other,N,0,0,1,None,6,2009,New,Partial,113000
50,20,RL,66.0,7742,,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,192,955,Ex,Y,SBrkr,955,0,955,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1966.0,Unf,1,386,TA,TA,Y,0,0,0,MnPrv,1,2007,WD,Normal,127000
51,60,RL,,13869,,IR2,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,612,794,Gd,Y,SBrkr,794,676,1470,0,1,2,0,3,1,TA,6,Typ,0,,Attchd,1997.0,Fin,2,388,TA,TA,Y,0,75,0,None,7,2007,WD,Normal,177000
52,50,RM,52.0,6240,,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,816,816,TA,Y,SBrkr,816,0,1176,0,0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,1985.0,Unf,2,528,TA,TA,Y,112,0,0,MnPrv,9,2006,WD,Normal,114500
53,90,RM,110.0,8472,,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Duplex,1Story,5,5,1963,1963,Gable,Wd Sdng,Wd Sdng,,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,0,816,TA,N,SBrkr,816,0,816,1,0,1,0,2,1,TA,5,Typ,0,,CarPort,1963.0,Unf,2,516,TA,TA,Y,106,0,0,None,5,2010,WD,Normal,110000
54,20,RL,68.0,50271,,IR1,Low,Inside,Gtl,Veenker,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShing,Wd Shng,,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,32,1842,Gd,Y,SBrkr,1842,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,Gd,Attchd,1981.0,Fin,3,894,TA,TA,Y,857,72,0,None,11,2006,WD,Normal,385000
55,80,RL,60.0,7134,,Reg,Bnk,Inside,Mod,NAmes,Norm,1Fam,SLvl,5,5,1955,1955,Gable,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,0,384,TA,Y,SBrkr,1360,0,1360,0,0,1,0,3,1,TA,6,Min1,1,TA,Detchd,1962.0,Unf,2,572,TA,TA,Y,0,50,0,MnPrv,2,2007,WD,Normal,130000
56,20,RL,100.0,10175,,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,935,1425,Gd,Y,SBrkr,1425,0,1425,0,0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,1964.0,RFn,2,576,TA,TA,Y,0,0,0,None,7,2008,WD,Normal,180500
57,160,FV,24.0,2645,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,321,970,Ex,Y,SBrkr,983,756,1739,1,0,2,1,3,1,Gd,7,Typ,0,,Attchd,1999.0,Fin,2,480,TA,TA,Y,115,0,0,None,8,2009,WD,Other,172500
58,60,RL,89.0,11645,,IR1,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,860,860,Ex,Y,SBrkr,860,860,1720,0,0,2,1,3,1,Gd,7,Typ,0,,Attchd,2004.0,RFn,2,565,TA,TA,Y,0,70,0,None,8,2006,WD,Normal,196500
59,60,RL,66.0,13682,,IR2,HLS,CulDSac,Gtl,StoneBr,Norm,1Fam,2Story,10,5,2006,2006,Hip,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,Unf,1410,1410,Ex,Y,SBrkr,1426,1519,2945,0,0,3,1,3,1,Gd,10,Typ,1,Gd,BuiltIn,2006.0,Fin,3,641,TA,TA,Y,192,0,1,None,10,2006,New,Partial,438780
60,20,RL,60.0,7200,,Reg,Bnk,Inside,Gtl,CollgCr,Norm,1Fam,1Story,5,7,1972,1972,Gable,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,148,780,Ex,Y,SBrkr,780,0,780,0,0,1,0,2,1,TA,4,Typ,0,,Detchd,1973.0,Unf,1,352,TA,TA,Y,196,0,0,MnPrv,1,2008,WD,Normal,124900
