,Unnamed: 0,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Fence,YrSold,SaleType,SaleCondition,SalePrice,MixedExterior,TotalBath,HouseAge,YrSinceRemod,Remodeled,SeasonSold,TotalSF,NewHouse
12,12,13,20,RL,71.0,12968,None,IR2,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,6,Hip,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,175,912,TA,Y,SBrkr,912,0,912,2,1,TA,4,Typ,0,None,Detchd,1962.0,Unf,1,352,TA,Y,140,0,0,None,2008,WD,Normal,144000,0,2.0,46,46,True,Fall,1824,0
13,13,14,20,RL,91.0,10652,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,Gable,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1494,1494,Ex,Y,SBrkr,1494,0,1494,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,Y,160,33,0,None,2007,New,Partial,279500,1,2.0,1,0,False,Summer,2988,1
14,14,15,20,RL,73.0,10920,None,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,Hip,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,520,1253,TA,Y,SBrkr,1253,0,1253,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,Y,0,213,1,GdWo,2008,WD,Normal,157000,1,2.5,48,48,True,Spring,2506,0
15,15,16,45,RM,51.0,6120,None,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,7,8,Gable,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,832,832,Ex,Y,FuseA,854,0,854,2,1,TA,5,Typ,0,None,Detchd,1991.0,Unf,2,576,TA,Y,48,112,0,GdPrv,2007,WD,Normal,132000,1,1.0,78,6,False,Summer,1686,0
16,16,17,20,RL,73.0,11241,None,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,7,Gable,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,426,1004,Ex,Y,SBrkr,1004,0,1004,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,Y,0,0,0,None,2010,WD,Normal,149000,1,2.0,40,40,True,Spring,2008,0
17,17,18,90,RL,72.0,10791,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Duplex,1Story,4,5,Gable,MetalSd,None,0.0,TA,TA,Slab,None,None,None,None,None,0,0,TA,Y,SBrkr,1296,0,1296,2,0,TA,6,Typ,0,None,CarPort,1967.0,Unf,2,516,TA,Y,0,0,0,None,2006,WD,Normal,90000,1,2.0,39,39,True,Fall,1296,0
18,18,19,20,RL,66.0,13695,None,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,5,5,Gable,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,468,1114,Ex,Y,SBrkr,1114,0,1114,3,1,Gd,6,Typ,0,None,Detchd,2004.0,Unf,2,576,TA,Y,0,102,0,None,2008,WD,Normal,159000,1,2.5,4,4,True,Summer,2228,0
19,19,20,20,RL,70.0,7560,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,Hip,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,525,1029,TA,Y,SBrkr,1339,0,1339,3,1,TA,6,Min1,0,None,Attchd,1958.0,Unf,1,294,TA,Y,0,0,0,MnPrv,2009,COD,Other,139000,0,1.0,51,44,False,Spring,2368,0
20,20,21,60,RL,101.0,14215,None,IR1,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,5,Gable,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1158,1158,Ex,Y,SBrkr,1158,1218,2376,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,Y,240,154,0,None,2006,New,Partial,325300,1,3.5,1,0,False,Fall,3534,1
21,21,22,45,RM,57.0,7449,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,7,7,Gable,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,637,637,Ex,Y,FuseF,1108,0,1108,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,N,0,0,1,GdPrv,2007,WD,Normal,139400,1,1.0,77,57,False,Summer,1745,0
22,22,23,20,RL,75.0,9742,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,Hip,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1777,1777,Ex,Y,SBrkr,1795,0,1795,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,Y,171,159,0,None,2008,WD,Normal,230000,1,2.0,6,6,True,Fall,3572,0
23,23,24,120,RM,44.0,4224,None,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,5,7,Gable,CemntBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,200,1040,TA,Y,SBrkr,1060,0,1060,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,Y,100,110,0,None,2007,WD,Normal,129900,0,2.0,31,31,True,Summer,2100,0
24,24,25,20,RL,71.0,8246,None,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,8,Gable,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,204,1060,Ex,Y,SBrkr,1060,0,1060,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,Y,406,90,0,MnPrv,2010,WD,Normal,154000,1,2.0,42,9,False,Spring,2120,0
25,25,26,20,RL,110.0,14230,None,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,1Story,8,5,Gable,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1566,1566,Ex,Y,SBrkr,1600,0,1600,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,Y,0,56,0,None,2009,WD,Normal,256300,1,2.0,2,2,True,Summer,3166,0
26,26,27,20,RL,60.0,7200,None,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,7,Gable,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,180,900,TA,Y,SBrkr,900,0,900,3,1,Gd,5,Typ,0,None,Detchd,2005.0,Unf,2,576,TA,Y,222,32,0,None,2010,WD,Normal,134800,1,1.5,59,10,False,Spring,1800,0
27,27,28,20,RL,98.0,11478,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,Gable,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,486,1704,Ex,Y,SBrkr,1704,0,1704,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,Y,0,50,0,None,2010,WD,Normal,306000,1,3.0,3,2,False,Spring,3408,0
28,28,29,20,RL,47.0,16321,None,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,5,6,Gable,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,207,1484,TA,Y,SBrkr,1600,0,1600,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,Y,288,258,0,None,2006,WD,Normal,207500,1,2.0,49,9,False,Winter,3084,0
29,29,30,30,RM,60.0,6324,None,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,4,6,Gable,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,520,520,Fa,N,SBrkr,520,0,520,1,1,Fa,4,Typ,0,None,Detchd,1920.0,Unf,1,240,Other,Y,49,0,1,None,2008,WD,Normal,68500,1,1.0,81,58,False,Spring,1040,0
30,30,31,70,C (all),50.0,8500,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,4,4,Gambrel,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,649,649,TA,N,SBrkr,649,668,1317,3,1,TA,6,Typ,0,None,Detchd,1920.0,Unf,1,250,TA,N,0,54,1,MnPrv,2008,WD,Normal,40000,1,1.0,88,58,False,Summer,1966,0
31,31,32,20,RL,71.0,8544,None,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,5,6,Gable,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1228,1228,Gd,Y,SBrkr,1228,0,1228,3,1,Gd,6,Typ,0,None,Attchd,1966.0,Unf,1,271,TA,Y,0,65,0,MnPrv,2008,WD,Normal,149350,1,1.5,42,2,False,Summer,2456,0
32,32,33,20,RL,85.0,11049,None,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,8,5,Gable,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1234,1234,Ex,Y,SBrkr,1234,0,1234,3,1,Gd,7,Typ,0,None,Attchd,2007.0,RFn,2,484,TA,Y,0,30,0,None,2008,WD,Normal,179900,1,2.0,1,1,True,Winter,2468,1
33,33,34,20,RL,70.0,10552,None,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,Hip,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,380,1398,Gd,Y,SBrkr,1700,0,1700,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447,TA,Y,0,38,0,None,2010,WD,Normal,165500,1,2.0,51,51,True,Spring,3098,0
34,34,35,120,RL,60.0,7313,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,Hip,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,408,1561,Ex,Y,SBrkr,1561,0,1561,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,556,TA,Y,203,47,0,None,2007,WD,Normal,277500,1,3.0,2,2,True,Summer,3122,0
35,35,36,60,RL,108.0,13418,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,Gable,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1117,1117,Ex,Y,SBrkr,1132,1320,2452,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,Y,113,32,0,None,2006,WD,Normal,309000,1,3.5,2,1,False,Fall,3569,0
36,36,37,20,RL,112.0,10859,None,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,5,5,Gable,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1097,1097,Ex,Y,SBrkr,1097,0,1097,3,1,TA,6,Typ,0,None,Attchd,1995.0,Unf,2,672,TA,Y,392,64,0,None,2009,WD,Normal,145000,1,1.5,15,14,False,Summer,2194,0
37,37,38,20,RL,74.0,8532,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,Hip,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,84,1297,Gd,Y,SBrkr,1297,0,1297,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,498,TA,Y,0,0,0,None,2009,WD,Normal,153000,1,1.5,55,19,False,Fall,2594,0
38,38,39,20,RL,68.0,7922,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,7,Gable,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,326,1057,TA,Y,SBrkr,1057,0,1057,3,1,Gd,5,Typ,0,None,Detchd,1953.0,Unf,1,246,TA,Y,0,52,0,None,2010,WD,Other,109000,1,2.0,57,3,False,Winter,2114,0
39,39,40,90,RL,65.0,6040,None,Reg,Lvl,Inside,Gtl,Edwards,Norm,Duplex,1Story,4,5,Gable,AsbShng,None,0.0,TA,TA,PConc,None,None,None,None,None,0,0,TA,N,FuseP,1152,0,1152,2,0,Fa,6,Typ,0,None,None,0.0,None,0,0,Other,N,0,0,0,None,2008,WD,Other,82000,0,2.0,53,53,True,Summer,1152,0
40,40,41,20,RL,84.0,8658,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,Gable,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,445,1088,Ex,Y,SBrkr,1324,0,1324,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,440,TA,Y,0,138,0,GdWo,2006,WD,Other,160000,1,2.0,41,41,True,Winter,2412,0
41,41,42,20,RL,115.0,16905,None,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,5,6,Gable,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,383,1350,Gd,Y,SBrkr,1328,0,1328,2,1,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,308,TA,P,0,104,0,None,2007,WD,Normal,170000,1,2.0,48,48,True,Summer,2678,0
42,42,43,85,RL,66.5,9180,None,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,5,7,Gable,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,0,840,Gd,Y,SBrkr,884,0,884,2,1,Gd,5,Typ,0,None,Attchd,1983.0,RFn,2,504,TA,Y,240,0,0,MnPrv,2007,WD,Normal,144000,1,2.0,24,24,True,Winter,1724,0
43,43,44,20,RL,70.0,9200,None,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,5,6,Hip,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,167,938,TA,Y,SBrkr,938,0,938,3,1,TA,5,Typ,0,None,Detchd,1977.0,Unf,1,308,TA,Y,145,0,0,MnPrv,2008,WD,Normal,130250,1,2.0,33,28,False,Summer,1876,0
44,44,45,20,RL,70.0,7945,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,Gable,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,465,1150,Ex,Y,FuseA,1150,0,1150,3,1,TA,6,Typ,0,None,Attchd,1959.0,RFn,1,300,TA,Y,0,0,0,None,2006,WD,Normal,141000,0,2.0,47,47,True,Spring,2300,0
45,45,46,120,RL,61.0,7658,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,Hip,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1296,1752,Ex,Y,SBrkr,1752,0,1752,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2,576,TA,Y,196,82,0,None,2010,WD,Normal,319900,1,3.0,5,5,True,Winter,3504,0
46,46,47,50,RL,48.0,12822,None,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,1Fam,1.5Fin,7,5,Gable,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,83,1434,Ex,Y,SBrkr,1518,631,2149,1,1,Gd,6,Typ,1,Ex,Attchd,2003.0,RFn,2,670,TA,Y,168,43,0,None,2009,WD,Other,239686,1,2.5,6,6,True,Summer,3583,0
47,47,48,20,FV,84.0,11096,None,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,Gable,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1632,1656,Ex,Y,SBrkr,1656,0,1656,3,1,Gd,7,Typ,0,None,Attchd,2006.0,RFn,3,826,TA,Y,0,146,0,None,2007,WD,Normal,249700,1,2.0,1,1,True,Summer,3312,1
48,48,49,190,RM,33.0,4456,None,Reg,Lvl,Inside,Gtl,OldTown,Norm,2fmCon,2Story,4,5,Gable,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,736,736,Gd,Y,SBrkr,736,716,1452,2,0,TA,8,Typ,0,None,None,0.0,None,0,0,Other,N,0,0,1,None,2009,New,Partial,113000,1,2.0,89,1,False,Summer,2188,0
49,49,50,20,RL,66.0,7742,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,7,Gable,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,192,955,Ex,Y,SBrkr,955,0,955,3,1,TA,6,Typ,0,None,Attchd,1966.0,Unf,1,386,TA,Y,0,0,0,MnPrv,2007,WD,Normal,127000,1,2.0,41,41,True,Winter,1910,0
50,50,51,60,RL,65.0,13869,None,IR2,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,6,Gable,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,612,794,Gd,Y,SBrkr,794,676,1470,3,1,TA,6,Typ,0,None,Attchd,1997.0,Fin,2,388,TA,Y,0,75,0,None,2007,WD,Normal,177000,1,2.5,10,10,True,Summer,2264,0
51,51,52,50,RM,52.0,6240,None,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,6,6,Gable,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,816,816,TA,Y,SBrkr,816,0,1176,3,1,TA,6,Typ,1,Gd,Detchd,1985.0,Unf,2,528,TA,Y,112,0,0,MnPrv,2006,WD,Normal,114500,1,1.0,72,56,False,Fall,1632,0
52,52,53,90,RM,110.0,8472,None,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Duplex,1Story,5,5,Gable,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,0,816,TA,N,SBrkr,816,0,816,2,1,TA,5,Typ,0,None,CarPort,1963.0,Unf,2,516,TA,Y,106,0,0,None,2010,WD,Normal,110000,1,2.0,47,47,True,Spring,1632,0
53,53,54,20,RL,68.0,50271,None,IR1,Low,Inside,Gtl,Veenker,Norm,1Fam,1Story,9,5,Gable,WdShing,None,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,32,1842,Gd,Y,SBrkr,1842,0,1842,0,1,Gd,5,Typ,1,Gd,Attchd,1981.0,Fin,3,894,TA,Y,857,72,0,None,2006,WD,Normal,385000,0,2.5,25,19,False,Fall,3684,0
54,54,55,80,RL,60.0,7134,None,Reg,Bnk,Inside,Mod,NAmes,Norm,1Fam,SLvl,5,5,Gable,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,0,384,TA,Y,SBrkr,1360,0,1360,3,1,TA,6,Min1,1,TA,Detchd,1962.0,Unf,2,572,TA,Y,0,50,0,MnPrv,2007,WD,Normal,130000,1,1.0,52,52,True,Winter,1744,0
55,55,56,20,RL,100.0,10175,None,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,Gable,HdBoard,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,935,1425,Gd,Y,SBrkr,1425,0,1425,3,1,TA,7,Typ,1,Gd,Attchd,1964.0,RFn,2,576,TA,Y,0,0,0,None,2008,WD,Normal,180500,0,2.0,44,44,True,Summer,2850,0
56,56,57,160,FV,24.0,2645,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,8,5,Gable,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,321,970,Ex,Y,SBrkr,983,756,1739,3,1,Gd,7,Typ,0,None,Attchd,1999.0,Fin,2,480,TA,Y,115,0,0,None,2009,WD,Other,172500,1,3.5,10,9,False,Summer,2709,0
57,57,58,60,RL,89.0,11645,None,IR1,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,2Story,7,5,Gable,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,860,860,Ex,Y,SBrkr,860,860,1720,3,1,Gd,7,Typ,0,None,Attchd,2004.0,RFn,2,565,TA,Y,0,70,0,None,2006,WD,Normal,196500,1,2.5,2,2,True,Summer,2580,0
58,58,59,60,RL,66.0,13682,None,IR2,HLS,CulDSac,Gtl,StoneBr,Norm,1Fam,2Story,10,5,Hip,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,Unf,1410,1410,Ex,Y,SBrkr,1426,1519,2945,3,1,Gd,10,Typ,1,Gd,BuiltIn,2006.0,Fin,3,641,TA,Y,192,0,1,None,2006,New,Partial,438780,1,3.5,0,0,True,Fall,4355,1
59,59,60,20,RL,60.0,7200,None,Reg,Bnk,Inside,Gtl,CollgCr,Norm,1Fam,1Story,5,7,Gable,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,148,780,Ex,Y,SBrkr,780,0,780,2,1,TA,4,Typ,0,None,Detchd,1973.0,Unf,1,352,TA,Y,196,0,0,MnPrv,2008,WD,Normal,124900,1,1.0,36,36,True,Winter,1560,0
